sigma,epsilon,NF-BoT-IoT-v3,NF-CICIDS2018-v3,NF-ToN-IoT-v3,NF-UNSW-NB15-v3,mean,median
0.0,inf,0.8169,0.8646,0.7756,0.8945,0.8379,0.8337
0.1,2800.6,0.82,0.9142,0.7383,0.8689,0.8353,0.8433
0.15,1311.2,0.6993,0.8528,0.7081,0.8664,0.7816,0.7899
0.2,774.84,0.6449,0.9525,0.6514,0.3978,0.6616,0.6481
0.25,519.7,0.6961,0.9567,0.7093,0.4541,0.7041,0.7061
0.3,377.38,0.7893,0.9441,0.6406,0.1411,0.6288,0.715
0.5,159.44,0.6694,0.9238,0.5786,0.2733,0.6113,0.624
0.7,93.27,0.4789,0.872,0.5335,0.6686,0.6382,0.6232
1.0,54.38,0.4891,0.8557,0.5369,0.2739,0.5389,0.513
3.0,12.26,0.6303,0.6821,0.5075,0.4188,0.5597,0.5713
10.0,2.94,0.5675,0.5986,0.5127,0.4602,0.5347,0.5531
