held_out,metric,group,mean,std
BoT,ROC-AUC,trained_avg,0.8032459032093056,0.035233790423376
BoT,ROC-AUC,held_out,0.6531524964328864,0.0
BoT,Recall,trained_avg,0.7775373642870554,0.09913246322308085
BoT,Recall,held_out,0.9632018432784444,0.0
BoT,Precision,trained_avg,0.6711400317131792,0.33689675130644037
BoT,Precision,held_out,0.999638446274352,0.0
BoT,F1,trained_avg,0.6691607467611577,0.20756388350061178
BoT,F1,held_out,0.9810819547451084,0.0
BoT,False Positive Rate,trained_avg,0.16296889182066787,0.14665122557709845
BoT,False Positive Rate,held_out,0.4994904025819602,0.0
CICIDS,ROC-AUC,trained_avg,0.6993930910076592,0.07374896134156236
CICIDS,ROC-AUC,held_out,0.7689401041752131,0.0
CICIDS,Recall,trained_avg,0.743851517771672,0.18914711379088286
CICIDS,Recall,held_out,0.8938587613982016,0.0
CICIDS,Precision,trained_avg,0.7010701146846531,0.32657567416346145
CICIDS,Precision,held_out,0.2809057888520858,0.0
CICIDS,F1,trained_avg,0.70889898818942,0.26572875431818993
CICIDS,F1,held_out,0.4274730633290128,0.0
CICIDS,False Positive Rate,trained_avg,0.32535325771675144,0.26467863177854856
CICIDS,False Positive Rate,held_out,0.3096645525224405,0.0
ToN,ROC-AUC,trained_avg,0.8157738481820541,0.054408668421899196
ToN,ROC-AUC,held_out,0.7671952430553142,0.0
ToN,Recall,trained_avg,0.7947240831539805,0.05520904263440074
ToN,Recall,held_out,0.7049263717496098,0.0
ToN,Precision,trained_avg,0.7169323999566967,0.2661026821055285
ToN,Precision,held_out,0.7776482321240321,0.0
ToN,F1,trained_avg,0.7410189117317102,0.1697923362311298
ToN,F1,held_out,0.7395037596575659,0.0
ToN,False Positive Rate,trained_avg,0.14190717194767075,0.12061976714626896
ToN,False Positive Rate,held_out,0.225502140535227,0.0
UNSW,ROC-AUC,trained_avg,0.8027469275020073,0.13444665358640465
UNSW,ROC-AUC,held_out,0.8185548543579642,0.0
UNSW,Recall,trained_avg,0.8249665868111092,0.10984046622648276
UNSW,Recall,held_out,0.7514093521065388,0.0
UNSW,Precision,trained_avg,0.8668826346687936,0.11672398629339707
UNSW,Precision,held_out,0.947417217027024,0.0
UNSW,F1,trained_avg,0.8438904255222801,0.10415868035354968
UNSW,F1,held_out,0.8381057491747839,0.0
UNSW,False Positive Rate,trained_avg,0.2330223784013448,0.21384514691775933
UNSW,False Positive Rate,held_out,0.0041467969739394,0.0
